lat,lon,amenity,leisure,shop
57.6924376,11.9918744,parking_entrance,,
57.7608681,11.8068501,toilets,,
57.7628546,11.8068924,recycling,,
57.708886,11.919525,,,supermarket
57.7094378,11.9214118,fast_food,,
57.708719,11.919308,,,alcohol
57.709138,11.920599,pharmacy,,
57.6925734,11.9489359,restaurant,,
57.692714,11.9501471,restaurant,,
57.6927103,11.9491846,restaurant,,
57.6927095,11.9492935,restaurant,,
57.6925687,11.9499044,restaurant,,
57.6920517,11.9483786,,,convenience
57.6964417,11.9517563,cafe,,
57.6964999,11.9516534,atm,,
57.6850939,11.937742,bench,,
57.684384,11.933668,,picnic_table,
57.6849344,11.9329294,,picnic_table,
57.6861109,11.939208,bench,,
57.6848285,11.9385169,bench,,
57.6855709,11.9412689,bench,,
57.684927,11.937983,bench,,
57.7371863,12.0595354,restaurant,,
57.670764,11.9270271,toilets,,
57.7774924,11.8647194,toilets,,
57.7774123,11.8647194,toilets,,
57.7303462,11.919008,fast_food,,
57.6810727,11.9411138,cafe,,
57.7954176,12.0495983,pharmacy,,
57.7043542,11.9639744,drinking_water,,
57.7694854,11.9999606,post_box,,
57.6726063,11.8821534,parking_entrance,,
57.6726134,11.8808485,,,boat
57.7501277,12.0278784,parking,,
57.7523961,12.0319562,,,greengrocer
57.7519978,12.0316706,restaurant,,
57.7476915,12.029202,,,glaziery
57.7291904,11.898259,parking_entrance,,
57.6971129,11.9591492,,,supermarket
57.6805606,12.0642566,shelter,,
57.7345985,11.8911455,,playground,
57.6995234,11.9528303,fast_food,,
57.6994621,11.9532143,pub,,
57.7802926,12.0347929,atm,,
57.7811064,12.0293719,post_box,,
57.7803758,12.0350365,,,convenience
57.7798752,12.0350311,,,kiosk
57.6935207,11.9872019,post_box,,
57.7110324,12.006883,cafe,,ice_cream
57.7565382,12.0514876,recycling,,
57.6889439,11.9669687,restaurant,,
57.6801677,11.8888771,recycling,,
57.7501344,12.0352111,post_box,,
57.6469982,11.9342098,ice_cream,,
57.7554355,11.9274097,,,supermarket
57.691557,12.0369752,,,canoe_hire
57.6954276,11.9009557,cafe,,
57.7208197,11.9537635,post_box,,
57.7208171,11.9538835,atm,,
57.7259877,12.0056725,restaurant,,
57.7256558,12.0108121,parking,,
57.6703326,11.8717008,cafe,,
57.6701475,11.8717051,pharmacy,,
57.6718758,11.8798156,,,supermarket
57.6707046,11.8719775,recycling,,
57.6674309,11.862206,restaurant,,
57.7511636,12.032034,restaurant,,
57.7522399,12.0326026,restaurant,,
57.7515758,12.0315753,pharmacy,,
57.7471849,12.030934,fast_food,,
57.74896,12.0258236,,,convenience
57.6935599,11.9585853,bicycle_rental,,
57.7046617,11.9924179,bicycle_rental,,
57.701195,11.9922262,bicycle_rental,,
57.69791,11.9809665,bicycle_rental,,
57.7045184,11.9842976,bicycle_rental,,
57.7061334,11.9846396,bicycle_rental,,
57.7001888,11.9878395,bicycle_rental,,
57.7021315,11.984995,bicycle_rental,,
57.7025087,11.9790118,bicycle_rental,,
57.6959846,11.9585291,bicycle_rental,,
57.6968951,11.9857071,bicycle_rental,,
57.6979253,11.9951127,bicycle_rental,,
57.6999502,11.9762174,bicycle_rental,,
57.6976354,11.9616196,bicycle_rental,,
57.7014236,11.9766143,bicycle_rental,,
57.699938,11.9798653,bicycle_rental,,
57.7024936,11.9554277,bicycle_rental,,
57.7024669,11.971561,bicycle_rental,,
57.7002849,11.9734078,bicycle_rental,,
57.7042538,11.9639921,bicycle_rental,,
57.704244,11.972139,bicycle_rental,,
57.7024447,11.9652861,bicycle_rental,,
57.7072431,11.9674458,bicycle_rental,,
57.707259,11.9726768,bicycle_rental,,
57.7115462,11.9665989,bicycle_rental,,
57.707446,11.963911,bicycle_rental,,
57.7478045,12.0307427,parking,,
57.7471766,12.0307462,waste_basket,,
57.7470639,12.0309588,waste_basket,,
57.6851825,11.8921101,restaurant,,
57.7092063,12.0030473,fast_food,,
57.7979852,12.1459128,fuel,,
57.7968866,12.0505811,atm,,
57.7963767,12.0503795,atm,,
57.7973141,12.0497258,atm,,
57.6938957,11.9669727,fast_food,,
57.6985597,11.9676667,place_of_worship,,
57.6954528,11.968668,restaurant,,
57.6936161,11.9666017,,,convenience
57.6485494,11.7854499,ferry_terminal,,
57.6507276,11.7926099,ferry_terminal,,
57.698904,11.963092,restaurant,,
57.7010718,11.9744888,fast_food,,
57.6975246,11.9762559,restaurant,,
57.7077152,11.9643542,cafe,,
57.7091768,11.9671428,,,electronics
57.6871935,11.9278363,restaurant,,
57.6853353,11.9259695,fast_food,,
57.703462,11.966426,cafe,,
57.5980216,11.7910826,restaurant,,
57.6081186,11.7937691,bench,,
57.6983637,11.9600487,cafe,,
57.6927269,11.9484553,,,appliance
57.6163552,11.7939008,restaurant,,
57.615605,11.7817304,,,supermarket
57.7961573,12.0623049,bench,,
57.7093558,11.9698211,car_rental,,
57.6974453,11.9467578,,playground,
57.6984438,11.9463356,kindergarten,,
57.7013895,11.9575466,parking_entrance,,
57.7014192,11.9574454,parking,,
57.6773801,11.9281341,fast_food,,
57.677205,11.9278613,recycling,,
57.6775686,11.9282687,post_box,,
57.662213,11.9012831,,picnic_table,
57.6801758,11.9305931,post_box,,
57.6949316,11.8188336,atm,,
57.577404,11.7861264,recycling,,
57.7549618,11.9310956,,playground,
57.721476,11.954353,fast_food,,
57.6297859,11.8541327,ferry_terminal,,
57.684019,11.8920313,conference_centre,,
57.7295384,11.9275212,fast_food,,
57.7294179,11.9261823,clinic,,
57.6698869,11.8939332,parking_entrance,,
57.7142641,12.0018787,restaurant,,
57.7065735,11.9453508,restaurant,,
57.7075336,11.9435483,restaurant,,
57.7096901,11.9427705,restaurant,,
57.7204563,11.9399639,clinic,,
57.6789507,11.9255576,post_box,,
57.6759094,11.9101438,recycling,,
57.6525084,11.9134543,,,supermarket
57.5703254,11.7919135,ferry_terminal,,
57.6700643,11.9237219,,playground,
57.6723705,11.9231808,,playground,
57.670602,11.9246677,,playground,
57.6715721,11.9246334,,playground,
57.6665983,11.9117868,,playground,
57.7957024,12.0500475,,,alcohol
57.8016255,12.0336561,,,paint
57.7057378,11.9695989,,,department_store
57.7050129,11.9889645,parking_entrance,,
57.7104275,11.9300783,waste_basket,,
57.7100745,11.9282109,waste_basket,,
57.7098267,11.92911,,,supermarket
57.7104344,11.9294243,waste_basket,,
57.7101778,11.9289741,waste_basket,,
57.710112,11.9283635,waste_basket,,
57.7103993,11.9292695,waste_basket,,
57.7100841,11.9294679,waste_basket,,
57.7101423,11.9288167,waste_basket,,
57.7103922,11.9299245,waste_basket,,
57.7098447,11.928618,waste_basket,,
57.6648432,11.9237392,parking_entrance,,
57.6652173,11.9237392,parking_entrance,,
57.6644285,11.9241914,parking_entrance,,
57.6874876,11.9786248,pub,,
57.6525821,11.9134614,,,doityourself
57.6525607,11.9119814,,,shoes
57.6527205,11.9128275,,,seafood
57.6522957,11.9109714,,,mobile_phone
57.6525253,11.9116473,cafe,,
57.6519527,11.9109204,,,bakery
57.6524823,11.9133586,,,household_linen
57.6521391,11.9109226,restaurant,,
57.6866112,11.9944396,cafe,,
57.6898349,11.9901116,,,supermarket
57.68651,11.9946326,bicycle_parking,,
57.686017,11.9830842,pub,,
57.6864359,11.9860947,restaurant,,
57.6876008,11.9825338,restaurant,,
57.6870845,11.9829891,restaurant,,
57.6883656,11.9849526,,,convenience
57.6897585,11.9799728,recycling,,
57.6915699,11.9820142,vending_machine,,
57.6876348,11.9799438,parking,,
57.6929057,11.9794425,vending_machine,,
57.6873772,11.9918456,dentist,,
57.6869328,11.9942976,,fitness_centre,
57.6868048,11.9943722,bicycle_parking,,
57.6874365,11.9918788,restaurant,,
57.6870287,11.9944022,bicycle_parking,,
57.6864806,11.9817768,recycling,,
57.6857103,11.9827495,bicycle_parking,,
57.6309814,11.962715,,playground,
57.6897564,11.9872994,parking_entrance,,
57.6869207,11.9937478,bbq,picnic_table,
57.6949852,11.9851853,bicycle_parking,,
57.6870619,11.9937747,recycling,,
57.6870347,11.9939557,recycling,,
57.6849593,11.9854265,parking,,
